"filename", "language", "Groovy", "Java Properties", "Java", "Batch", "XML", "comment", "blank", "total"
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcExecutor.java", "Java", 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcExecutorMultipleConnection.java", "Java", 0, 0, 50, 0, 0, 0, 15, 65
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcExecutorSingleConnection.java", "Java", 0, 0, 107, 0, 0, 0, 23, 130
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcExtractor.java", "Java", 0, 0, 79, 0, 0, 0, 15, 94
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcIterableQuery.java", "Java", 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\main\java\selfdao\jdbc\JdbcIterableQueryBuilder.java", "Java", 0, 0, 35, 0, 0, 3, 7, 45
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\app\Program.java", "Java", 0, 0, 37, 0, 0, 0, 13, 50
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\EmployeeDao.java", "Java", 0, 0, 21, 0, 0, 0, 11, 32
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\EmployeesDaoTest.java", "Java", 0, 0, 53, 0, 0, 6, 13, 72
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\OrderDao.java", "Java", 0, 0, 20, 0, 0, 0, 11, 31
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\ProductDao.java", "Java", 0, 0, 20, 0, 0, 0, 10, 30
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\ProductDaoTest.java", "Java", 0, 0, 67, 0, 0, 0, 27, 94
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\ProductQueryTest.java", "Java", 0, 0, 68, 0, 0, 0, 16, 84
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\SupplierDao.java", "Java", 0, 0, 20, 0, 0, 0, 10, 30
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\TestOrmInspectForSupplier.java", "Java", 0, 0, 27, 0, 0, 0, 10, 37
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Category.java", "Java", 0, 0, 29, 0, 0, 0, 11, 40
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Employee.java", "Java", 0, 0, 53, 0, 0, 0, 14, 67
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Order.java", "Java", 0, 0, 52, 0, 0, 3, 10, 65
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Product.java", "Java", 0, 0, 48, 0, 0, 0, 35, 83
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Shipper.java", "Java", 0, 0, 33, 0, 0, 0, 12, 45
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\selfdao\src\test\java\selfdao\test\model\Supplier.java", "Java", 0, 0, 60, 0, 0, 3, 16, 79
"c:\Users\migue\Dropbox\MyProjects\143-isel-concurso-coordenador\CV-resources\Criteria-12-d-materiais-pedagogicos\material-13-2012-prototipo-experimental-MPD-selfdao\selfdao\settings.gradle", "Groovy", 2, 0, 0, 0, 0, 3, 2, 7
"Total", "-", 19, 6, 1384, 71, 52, 47, 456, 2035
